"","Province","DeltaSOC_Coarse","DeltaSOC_Medium","DeltaSOC_Fine"
"1","AB",99.5547239982639,133.577857683025,120.429757397762
"2","BC",48.065009738742,17.529405925911,9.66231744738508
"3","MB",217.088973352017,230.582205588608,215.603824463257
"4","NB",104.547472358711,111.264781570212,51.8164963616883
"5","NF",61.471958719936,156.833233247731,NA
"6","NS",100.785578667777,81.3225237518943,NA
"7","ON",139.810062637427,123.462268292317,105.283864625776
"8","PE",64.5446733039251,26.9574453378238,NA
"9","QC",235.21836055596,156.332565167779,174.530118826384
"10","SK",126.826811658031,145.701667726248,143.630762193417
